Mod,Politika,mean,std,min,max,act_rate
Oracle,SAC,14.38,6.72,1.68,38.5,0.053
Oracle,TD3,14.72,7.01,1.61,40.12,0.068
Oracle,PPO,12.08,5.53,1.48,33.75,0.083
Oracle,A2C,-9.01,11.06,-29.6,28.35,0.069
Oracle,Bekle,-5.85,6.36,-14.81,21.31,0.0
Oracle,Eşik,5.63,5.89,-8.27,19.25,0.083
Oracle,Öz-tük.,2.05,6.06,-13.79,13.12,0.083
Oracle,FcAware,-3.34,8.88,-25.82,23.79,0.083
Oracle,Şb.Bil.,5.3,5.64,-9.35,15.62,0.083
Forecast,SAC,14.49,6.85,1.69,39.7,0.054
Forecast,TD3,14.7,7.06,1.6,39.96,0.065
Forecast,PPO,11.98,5.47,1.47,32.21,0.083
Forecast,A2C,-9.5,11.03,-29.6,28.35,0.069
Forecast,Bekle,-5.85,6.36,-14.81,21.31,0.0
Forecast,Eşik,5.63,5.89,-8.27,19.25,0.083
Forecast,Öz-tük.,2.05,6.06,-13.79,13.12,0.083
Forecast,FcAware,-2.3,9.1,-25.82,23.79,0.083
Forecast,Şb.Bil.,5.3,5.64,-9.35,15.62,0.083
Ensemble,SAC,14.49,6.85,1.67,39.68,0.054
Ensemble,TD3,14.64,7.09,1.6,39.93,0.066
Ensemble,PPO,11.97,5.47,1.46,32.2,0.083
Ensemble,A2C,-9.53,11.02,-29.6,28.35,0.069
Ensemble,Bekle,-5.85,6.36,-14.81,21.31,0.0
Ensemble,Eşik,5.63,5.89,-8.27,19.25,0.083
Ensemble,Öz-tük.,2.05,6.06,-13.79,13.12,0.083
Ensemble,FcAware,-2.15,9.33,-25.82,23.79,0.083
Ensemble,Şb.Bil.,5.3,5.64,-9.35,15.62,0.083
Naive,SAC,14.18,6.7,1.64,38.77,0.049
Naive,TD3,14.54,7.09,1.61,40.31,0.067
Naive,PPO,11.94,5.94,-7.64,33.96,0.083
Naive,A2C,-8.79,10.61,-28.47,28.35,0.068
Naive,Bekle,-5.85,6.36,-14.81,21.31,0.0
Naive,Eşik,5.63,5.89,-8.27,19.25,0.083
Naive,Öz-tük.,2.05,6.06,-13.79,13.12,0.083
Naive,FcAware,5.73,5.99,-8.27,19.25,0.083
Naive,Şb.Bil.,5.3,5.64,-9.35,15.62,0.083
